ATL	IND	Tue, Nov 21, 2023	7:30p	2024	17162	152	157	2:18	ist
PHI	CLE	Tue, Nov 21, 2023	7:30p	2024	20565	119	122	2:51	ist
PHO	POR	Tue, Nov 21, 2023	9:00p	2024	17071	120	107	2:16	ist
LAL	UTA	Tue, Nov 21, 2023	10:00p	2024	18997	131	99	2:09	ist
CHO	WAS	Wed, Nov 22, 2023	7:00p	2024	16432	117	114	2:12	regular
ORL	DEN	Wed, Nov 22, 2023	7:00p	2024	18237	124	119	2:22	regular
ATL	BRK	Wed, Nov 22, 2023	7:30p	2024	17340	147	145	2:37	regular
BOS	MIL	Wed, Nov 22, 2023	7:30p	2024	19156	119	116	2:13	regular
CLE	MIA	Wed, Nov 22, 2023	7:30p	2024	19432	96	129	2:10	regular
IND	TOR	Wed, Nov 22, 2023	7:30p	2024	17091	131	132	2:19	regular
HOU	MEM	Wed, Nov 22, 2023	8:00p	2024	18055	111	91	2:17	regular
MIN	PHI	Wed, Nov 22, 2023	8:00p	2024	18024	112	99	2:09	regular
NOP	SAC	Wed, Nov 22, 2023	8:00p	2024	16012	117	112	2:26	regular
OKC	CHI	Wed, Nov 22, 2023	8:00p	2024	18203	116	102	2:14	regular
SAS	LAC	Wed, Nov 22, 2023	8:00p	2024	18354	102	109	2:16	regular
PHO	GSW	Wed, Nov 22, 2023	10:00p	2024	17071	123	115	2:45	regular
POR	UTA	Wed, Nov 22, 2023	10:00p	2024	17819	121	105	2:07	regular
LAL	DAL	Wed, Nov 22, 2023	10:30p	2024	18997	101	104	2:12	regular
ORL	BOS	Fri, Nov 24, 2023	2:30p	2024	18846	113	96	2:17	ist
MEM	PHO	Fri, Nov 24, 2023	5:00p	2024	17794	89	110	2:06	ist
NYK	MIA	Fri, Nov 24, 2023	7:30p	2024	19812	100	98	2:18	ist
TOR	CHI	Fri, Nov 24, 2023	7:30p	2024	19800	121	108	2:12	ist
HOU	DEN	Fri, Nov 24, 2023	8:00p	2024	18055	105	86	2:07	ist
IND	DET	Fri, Nov 24, 2023	8:00p	2024	17274	136	113	2:14	ist
MIL	WAS	Fri, Nov 24, 2023	8:00p	2024	17880	131	128	2:20	ist
MIN	SAC	Fri, Nov 24, 2023	8:00p	2024	18024	111	124	2:11	ist
GSW	SAS	Fri, Nov 24, 2023	10:00p	2024	18064	118	112	2:35	ist
LAC	NOP	Fri, Nov 24, 2023	10:30p	2024	19370	106	116	2:20	ist
OKC	PHI	Sat, Nov 25, 2023	5:00p	2024	17125	123	127	2:33	regular
BRK	MIA	Sat, Nov 25, 2023	6:00p	2024	17817	112	97	2:10	regular
WAS	ATL	Sat, Nov 25, 2023	7:00p	2024	16276	108	136	2:02	regular
CLE	LAL	Sat, Nov 25, 2023	7:30p	2024	19432	115	121	2:12	regular
UTA	NOP	Sat, Nov 25, 2023	9:30p	2024	18206	105	100	2:10	regular
LAC	DAL	Sat, Nov 25, 2023	10:30p	2024	19370	107	88	2:09	regular
MIL	POR	Sun, Nov 26, 2023	3:30p	2024	17602	108	102	2:29	regular
BOS	ATL	Sun, Nov 26, 2023	6:00p	2024	19156	113	103	2:08	regular
MEM	MIN	Sun, Nov 26, 2023	6:00p	2024	15764	97	119	2:15	regular
NYK	PHO	Sun, Nov 26, 2023	6:00p	2024	19812	113	116	2:25	regular
ORL	CHO	Sun, Nov 26, 2023	6:00p	2024	18846	130	117	2:16	regular
BRK	CHI	Sun, Nov 26, 2023	7:30p	2024	16687	118	109	2:03	regular
CLE	TOR	Sun, Nov 26, 2023	7:30p	2024	19432	105	102	2:16	regular
DEN	SAS	Sun, Nov 26, 2023	8:00p	2024	19665	132	120	2:19	regular
DET	WAS	Mon, Nov 27, 2023	7:00p	2024	14346	107	126	2:18	regular
IND	POR	Mon, Nov 27, 2023	7:00p	2024	14508	110	114	2:29	regular
