Noah Clowney	F	6-9	220	19	BRK	23	0	Alabama	2023 Rnd 1 Pick 21	United States
Amir Coffey	SF	6-7	210	26	LAC	70	4	Minnesota	2019 NBA Draft, Undrafted	United States
John Collins	PF	6-9	226	26	UTA	68	6	Wake Forest	2017 Rnd 1 Pick 19	United States
Zach Collins	C	6-11	250	26	SAS	69	6	Gonzaga	2017 Rnd 1 Pick 10	United States
Mike Conley	PG	6-0	175	36	MIN	76	16	Ohio State	2007 Rnd 1 Pick 4	United States
Pat Connaughton	SF	6-5	209	31	MIL	76	8	Notre Dame	2015 Rnd 2 Pick 11	United States
Bilal Coulibaly	GF	6-8	195	19	WAS	63	0	Boulogne-Levallois (France)	2023 Rnd 1 Pick 7	France
Ricky Council IV	G	6-6	207	22	PHI	32	0	Arkansas	2023 NBA Draft, Undrafted	United States
Robert Covington	F	6-7	209	33	LAC, PHL	29	10	Tennessee State	2013 NBA Draft, Undrafted	United States
Torrey Craig	GF	6-5	221	33	CHI	53	6	USC Upstate	2014 NBA Draft, Undrafted	United States
Jae Crowder	SF	6-6	235	33	MIL	50	11	Marquette	2012 Rnd 2 Pick 4	United States
Jalen Crutcher	G	6-2	175	24	NOP	1	0	Dayton	2021 NBA Draft, Undrafted	United States
Cade Cunningham	SF	6-6	220	22	DET	62	2	Oklahoma State	2021 Rnd 1 Pick 1	United States
Seth Curry	G	6-1	185	33	CHA, DAL	44	10	Duke	2013 NBA Draft, Undrafted	United States
Stephen Curry	G	6-2	185	35	GSW	74	14	Davidson	2009 Rnd 1 Pick 7	United States
Dyson Daniels	GF	6-7	199	20	NOP	61	1	NBA G League Ignite	2022 Rnd 1 Pick 8	Australia
Anthony Davis	PF	6-10	253	30	LAL	76	11	Kentucky	2012 Rnd 1 Pick 1	United States
Johnny Davis	F	6-5	195	22	WAS	50	1	Wisconsin	2022 Rnd 1 Pick 10	United States
JD Davison	F	6-3	195	21	BOS	8	1	Alabama	2022 Rnd 2 Pick 23	United States
DeMar DeRozan	GF	6-6	220	34	CHI	79	14	USC	2009 Rnd 1 Pick 9	United States
Dexter Dennis	GF	6-5	210	25	DAL	4	0	Texas A&M	2023 NBA Draft, Undrafted	United States
Donte DiVincenzo	SG	6-4	203	27	NYK	81	5	Villanova	2018 Rnd 1 Pick 17	United States
Moussa Diabate	PF	6-9	210	22	LAC	11	1	Michigan	2022 Rnd 2 Pick 13	France
Mamadi Diakite	PF	6-9	228	27	NYK, SAN	6	3	Virginia	2020 NBA Draft, Undrafted	Guinea
Hamidou Diallo	SG	6-5	202	25	WAS	2	5	Kentucky	2018 Rnd 2 Pick 15	United States
Gradey Dick	GF	6-7	200	20	TOR	60	0	Kansas	2023 Rnd 1 Pick 13	United States
Ousmane Dieng	SG	6-10	225	20	OKC	33	1	New Zealand (New Zealand)	2022 Rnd 1 Pick 11	France
Spencer Dinwiddie	PG	6-5	215	30	BRK, LAL	76	9	Colorado	2014 Rnd 2 Pick 8	United States
Luka Doncic	SF	6-7	230	25	DAL	70	5	Real Madrid (Spain)	2018 Rnd 1 Pick 3	Slovenia
Luguentz Dort	PG	6-4	220	24	OKC	79	4	Arizona State	2019 NBA Draft, Undrafted	Canada
